CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
1,0.052,0.028,0.215,0.122,0.202,0.177,0.228,C02-1050.xml,C00-2123.xml,680
2,0.182,0.154,0.164,0.045,0.072,0.166,0.201,C02-1050.xml,C00-2123.xml,680
3,0.028,0.228,0.144,0.046,0.14,0.177,0.202,C02-1050.xml,C00-2123.xml,680
4,0.136,0.018,0.137,0.041,0.018,0.164,0.201,C02-1050.xml,C00-2123.xml,680
5,0.045,0.235,0.147,0.026,0.069,0.185,0.203,C04-1091.xml,C00-2123.xml,680
6,0.21,0.047,0.181,0.079,0.042,0.172,0.136,E06-1004.xml,C00-2123.xml,680
7,0.017,0.027,0.116,0.008,0.078,0.121,0.117,H01-1062.xml,C00-2123.xml,680
8,0.072,0.05,0.027,0.017,0.221,0.126,0.047,J03-1005.xml,C00-2123.xml,680
9,0.019,0.141,0.196,0.121,0.011,0.175,0.197,J04-2003.xml,C00-2123.xml,680
10,0.098,0.02,0.081,0.154,0.144,0.111,0.192,J04-4002.xml,C00-2123.xml,680
11,0.127,0.027,0.207,0.125,0.02,0.219,0.177,N03-1010.xml,C00-2123.xml,680
12,0.084,0.011,0.165,0.082,0.129,0.204,0.206,P01-1027.xml,C00-2123.xml,680
13,0.041,0.069,0.154,0.011,0.018,0.146,0.175,P03-1039.xml,C00-2123.xml,680
14,0.018,0.02,0.15,0.104,0.076,0.131,0.214,P03-1039.xml,C00-2123.xml,680
15,0.048,0.03,0.16,0.018,0.148,0.24,0.143,W01-1404.xml,C00-2123.xml,680
16,0.051,0.02,0.136,0.07,0.047,0.16,0.198,W01-1407.xml,C00-2123.xml,680
17,0.169,0.125,0.135,0.161,0.008,0.145,0.132,W01-1408.xml,C00-2123.xml,680
18,0.115,0.047,0.211,0.01,0.042,0.168,0.146,W02-1020.xml,C00-2123.xml,680
19,0.011,0.043,0.011,0.038,0.039,0.037,0.041,C10-2104.xml,C02-1025.xml,1099
20,0.037,0.054,0.034,0.01,0.01,0.083,0.044,C10-2167.xml,C02-1025.xml,1099
21,0.034,0.01,0.091,0.054,0.037,0.103,0.095,I05-3013.xml,C02-1025.xml,1099
22,0.043,0.038,0.045,0.007,0.085,0.038,0.036,I05-3030.xml,C02-1025.xml,1099
23,0.037,0.011,0.011,0.043,0.011,0.037,0.042,P03-1028.xml,C02-1025.xml,1099
24,0.043,0.035,0.038,0.041,0.041,0.096,0.071,P03-1028.xml,C02-1025.xml,1099
25,0.05,0.041,0.035,0.051,0.038,0.093,0.099,P05-1045.xml,C02-1025.xml,1099
26,0.029,0.01,0.05,0.04,0.01,0.06,0.075,P05-1051.xml,C02-1025.xml,1099
27,0.044,0.092,0.01,0.043,0.039,0.085,0.064,W03-0423.xml,C02-1025.xml,1099
28,0.011,0.031,0.036,0.032,0.031,0.043,0.028,W03-0423.xml,C02-1025.xml,1099
29,0.028,0.008,0.04,0.027,0.043,0.037,0.039,W03-0423.xml,C02-1025.xml,1099
30,0.034,0.038,0.041,0.011,0.037,0.028,0.042,W03-0423.xml,C02-1025.xml,1099
31,0.04,0.027,0.043,0.076,0.01,0.053,0.075,W03-0423.xml,C02-1025.xml,1099
32,0.039,0.038,0.029,0.011,0.037,0.035,0.037,W03-0432.xml,C02-1025.xml,1099
33,0.011,0.039,0.041,0.034,0.09,0.063,0.045,W04-0705.xml,C02-1025.xml,1099
34,0.009,0.032,0.041,0.037,0.106,0.034,0.057,W04-0705.xml,C02-1025.xml,1099
35,0.077,0.038,0.057,0.04,0.022,0.092,0.088,W06-0119.xml,C02-1025.xml,1099
36,0.031,0.025,0.008,0.05,0.034,0.033,0.062,C10-1070.xml,C04-1089.xml,1383
37,0.033,0.027,0.038,0.027,0.033,0.081,0.055,C10-2164.xml,C04-1089.xml,1383
38,0.006,0.044,0.029,0.024,0.029,0.025,0.044,D10-1042.xml,C04-1089.xml,1383
39,0.036,0.028,0.048,0.028,0.026,0.056,0.053,D12-1003.xml,C04-1089.xml,1383
40,0.007,0.023,0.049,0.007,0.041,0.071,0.053,D12-1003.xml,C04-1089.xml,1383
41,0.026,0.028,0.039,0.027,0.025,0.052,0.035,N09-1048.xml,C04-1089.xml,1383
42,0.034,0.031,0.05,0.031,0.009,0.056,0.1,N09-1048.xml,C04-1089.xml,1383
43,0.037,0.033,0.041,0.022,0.031,0.082,0.115,P06-1011.xml,C04-1089.xml,1383
44,0.034,0.04,0.034,0.023,0.033,0.093,0.114,P13-1059.xml,C04-1089.xml,1383
45,0.053,0.03,0.077,0.03,0.006,0.089,0.079,P13-1062.xml,C04-1089.xml,1383
46,0.049,0.027,0.022,0.028,0.029,0.051,0.039,P13-2036.xml,C04-1089.xml,1383
47,0.027,0.022,0.028,0.029,0.009,0.039,0.042,P13-2036.xml,C04-1089.xml,1383
48,0.027,0.026,0.036,0.031,0.006,0.045,0.081,W11-1215.xml,C04-1089.xml,1383
49,0.023,0.007,0.049,0.029,0.026,0.053,0.098,W13-2501.xml,C04-1089.xml,1383
50,0.033,0.033,0.029,0.072,0.043,0.062,0.098,W13-2512.xml,C04-1089.xml,1383
51,0.023,0.025,0.043,0.034,0.009,0.038,0.071,C10-2023.xml,C08-1098.xml,1781
52,0.024,0.03,0.029,0.026,0.026,0.026,0.043,D12-1133.xml,C08-1098.xml,1781
53,0.022,0.02,0.027,0.023,0.01,0.031,0.03,D12-1133.xml,C08-1098.xml,1781
54,0.008,0.009,0.028,0.008,0.022,0.035,0.038,D13-1032.xml,C08-1098.xml,1781
55,0.01,0.026,0.01,0.032,0.028,0.02,0.044,D13-1033.xml,C08-1098.xml,1781
56,0.009,0.024,0.018,0.101,0.024,0.027,0.082,E09-1079.xml,C08-1098.xml,1781
57,0.01,0.02,0.024,0.022,0.0,0.045,0.036,P10-1020.xml,C08-1098.xml,1781
58,0.025,0.01,0.047,0.037,0.021,0.041,0.052,P10-1068.xml,C08-1098.xml,1781
59,0.009,0.027,0.026,0.027,0.009,0.037,0.036,P10-1068.xml,C08-1098.xml,1781
60,0.019,0.023,0.026,0.019,0.009,0.024,0.019,P10-1068.xml,C08-1098.xml,1781
61,0.033,0.021,0.023,0.009,0.094,0.041,0.028,W10-1704.xml,C08-1098.xml,1781
62,0.026,0.035,0.028,0.033,0.028,0.082,0.074,W10-1727.xml,C08-1098.xml,1781
63,0.028,0.01,0.023,0.008,0.023,0.024,0.022,W11-2135.xml,C08-1098.xml,1781
64,0.018,0.041,0.027,0.01,0.026,0.098,0.031,W11-2145.xml,C08-1098.xml,1781
65,0.032,0.021,0.023,0.021,0.008,0.033,0.041,W11-2147.xml,C08-1098.xml,1781
66,0.026,0.032,0.023,0.008,0.037,0.079,0.022,W12-3141.xml,C08-1098.xml,1781
67,0.029,0.023,0.023,0.023,0.009,0.041,0.031,W12-3144.xml,C08-1098.xml,1781
68,0.026,0.024,0.037,0.08,0.032,0.034,0.085,W12-3402.xml,C08-1098.xml,1781
69,0.026,0.031,0.023,0.008,0.024,0.051,0.025,W13-2204.xml,C08-1098.xml,1781
70,0.026,0.009,0.031,0.027,0.023,0.029,0.033,W13-2210.xml,C08-1098.xml,1781
71,0.009,0.02,0.023,0.023,0.022,0.026,0.021,W13-2210.xml,C08-1098.xml,1781
72,0.008,0.01,0.035,0.008,0.027,0.037,0.045,W13-2211.xml,C08-1098.xml,1781
73,0.026,0.011,0.008,0.02,0.026,0.026,0.025,W13-2228.xml,C08-1098.xml,1781
74,0.025,0.025,0.035,0.025,0.029,0.039,0.038,W13-2230.xml,C08-1098.xml,1781
75,0.022,0.01,0.017,0.017,0.022,0.032,0.023,W13-2230.xml,C08-1098.xml,1781
76,0.029,0.025,0.008,0.022,0.037,0.024,0.025,W13-2230.xml,C08-1098.xml,1781
77,0.008,0.024,0.028,0.014,0.027,0.028,0.041,W13-2302.xml,C08-1098.xml,1781
