CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
1,0.05131301263272314,0.02821041372115951,0.18756907985970905,0.08000597828029343,0.17167458085605036,0.14133941513540982,0.16949111985482046,C02-1050.xml,C00-2123.xml,680
2,0.14760044580021048,0.1413935709534897,0.12598512598468903,0.044248986398654155,0.06743204000995184,0.09837812803814472,0.13733900053381332,C02-1050.xml,C00-2123.xml,680
3,0.02821041372115951,0.16949111985482046,0.12844219927763834,0.044675971201393994,0.13441638185557137,0.10942322060363596,0.17216305953406497,C02-1050.xml,C00-2123.xml,680
4,0.12035802737704693,0.01753931376364981,0.1219436236778415,0.03924456806115317,0.017626344001428373,0.15218339247216905,0.17032174910993358,C02-1050.xml,C00-2123.xml,680
5,0.043532018309028864,0.21309149197635435,0.13339109166821972,0.02731557018732944,0.06528132574554824,0.15011942015363122,0.17287304481113674,C04-1091.xml,C00-2123.xml,680
6,0.1812778249002902,0.046424098458858865,0.1473646734975146,0.07556179222189219,0.04127219712788133,0.1356389643210426,0.0959922566703314,E06-1004.xml,C00-2123.xml,680
7,0.017105804269859304,0.027063208630694224,0.1071881497202225,0.008000000000000007,0.07386232125023662,0.10309253543077257,0.10734105056858378,H01-1062.xml,C00-2123.xml,680
8,0.06852858336930179,0.049343910764781285,0.02713824209191984,0.01660841980419625,0.15453740473040456,0.11785942163394392,0.04518483464075629,J03-1005.xml,C00-2123.xml,680
9,0.01890367445393004,0.10136881870257808,0.16375063527677347,0.11226636877946328,0.011237136619705046,0.10720215054022464,0.13371829062365648,J04-2003.xml,C00-2123.xml,680
10,0.08702957331576178,0.019786757893977436,0.07708342738901908,0.14068806595043726,0.12708476929314616,0.1017288827976266,0.15923070940953143,J04-4002.xml,C00-2123.xml,680
11,0.11851659119413949,0.026546868103040078,0.17763207747383525,0.11668578637044458,0.01978216706693192,0.192153479923321,0.14197494209085026,N03-1010.xml,C00-2123.xml,680
12,0.08096082782070713,0.011564367295472278,0.15044953063399458,0.0776746777844598,0.11147988205105896,0.1743075633142811,0.17584892161691612,P01-1027.xml,C00-2123.xml,680
13,0.04012032004005839,0.06533481930693508,0.11511752192734648,0.011032356444357738,0.017651283911868654,0.07639564747669136,0.10853042676712732,P03-1039.xml,C00-2123.xml,680
14,0.017889008309142307,0.02022502583501351,0.13594791823640628,0.09360770082706449,0.07286516622445904,0.11179281696216858,0.18619043996767892,P03-1039.xml,C00-2123.xml,680
15,0.0474318921987783,0.02979847454253093,0.14830756725212124,0.018211326200999634,0.13377427883951631,0.21982117434526594,0.12522288553026273,W01-1404.xml,C00-2123.xml,680
16,0.051298782545315835,0.019161073366273818,0.12005625179787771,0.06629876298678927,0.04635279059811648,0.14546971967050804,0.1660695472642818,W01-1407.xml,C00-2123.xml,680
17,0.13236413167734928,0.11643166647960945,0.1282104611776992,0.1472984109314679,0.008000000000000007,0.1059681213737399,0.09030444653169811,W01-1408.xml,C00-2123.xml,680
18,0.10466207496833924,0.046555717411866704,0.18243165423311558,0.00959149842097995,0.04107977391234463,0.13193548626844565,0.10698208304648216,W02-1020.xml,C00-2123.xml,680
19,0.011066230731299198,0.04125655152173269,0.010380376104030531,0.03520468492016404,0.03839301167264819,0.03470678029937446,0.038517290847100094,C10-2104.xml,C02-1025.xml,1099
20,0.03510207793777487,0.05282155852236581,0.032040806645238784,0.010289436249162676,0.009427438296416346,0.0734256640722235,0.04244269101008891,C10-2167.xml,C02-1025.xml,1099
21,0.03156001734748681,0.009867685609645349,0.08282553459006503,0.053010031732120155,0.03521504986862489,0.0951547093563454,0.0822069950146711,I05-3013.xml,C02-1025.xml,1099
22,0.03821624051973105,0.03567951385444479,0.04406537880459627,0.007222079214087351,0.07619644945475568,0.03662312670481849,0.03396480395381052,I05-3030.xml,C02-1025.xml,1099
23,0.03529019907539033,0.01124573325825795,0.011006066752682342,0.04057725688828906,0.010567839617086294,0.03509534149740989,0.04050690466267559,P03-1028.xml,C02-1025.xml,1099
24,0.04146726712125259,0.03276528184726535,0.03591546013847935,0.03857085544487471,0.03877734109104569,0.08793969497625875,0.06534230864984591,P03-1028.xml,C02-1025.xml,1099
25,0.04974056174116315,0.03897346550680514,0.03249806201744487,0.04893428197626637,0.03567121789298444,0.08431719465745124,0.09025168315626997,P05-1045.xml,C02-1025.xml,1099
26,0.02661518400994145,0.010110107133121549,0.04499057596272904,0.03836597397970565,0.010051011415234568,0.05367394625319555,0.06536798685257961,P05-1051.xml,C02-1025.xml,1099
27,0.04257062923680899,0.08320013089006173,0.010147990859239564,0.04090407153403042,0.03802650764171267,0.07632364975604145,0.060668322688945064,W03-0423.xml,C02-1025.xml,1099
28,0.011306417538780589,0.02874514158229302,0.034720247803777804,0.03066259744091171,0.028347284262530414,0.04013490531220998,0.025325182432622828,W03-0423.xml,C02-1025.xml,1099
29,0.025811106612275037,0.008985872956394303,0.03865406850603459,0.024359697429426674,0.041622725645062086,0.03561988821834361,0.037051922479721666,W03-0423.xml,C02-1025.xml,1099
30,0.031909611658084924,0.036972482220782976,0.039207098277677765,0.010832673406566684,0.0350704688942306,0.025896309420809227,0.03993593963735942,W03-0423.xml,C02-1025.xml,1099
31,0.03865406850603459,0.024359697429426674,0.041622725645062086,0.07101829942673255,0.0096828790735769,0.045632670299323386,0.06501336907953603,W03-0423.xml,C02-1025.xml,1099
32,0.03742117205913997,0.0363164419790073,0.026752343953503233,0.011037917814843534,0.035502721621258226,0.03131326012998403,0.035020725611166315,W03-0432.xml,C02-1025.xml,1099
33,0.011298831800022668,0.03649078883489654,0.03910718599835494,0.031689099514004226,0.08084060141888327,0.059775026921747854,0.04220513678554316,W04-0705.xml,C02-1025.xml,1099
