CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
1,0.0,0.0,0.024390243902439025,0.05813953488372093,0.011627906976744186,0.024096385542168676,0.03225806451612903,C02-1050.xml,C00-2123.xml,680
2,0.011764705882352941,0.0,0.07317073170731707,0.0,0.0,0.023255813953488372,0.07228915662650602,C02-1050.xml,C00-2123.xml,680
3,0.0,0.03225806451612903,0.012345679012345678,0.0,0.0,0.08791208791208792,0.023529411764705882,C02-1050.xml,C00-2123.xml,680
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C02-1050.xml,C00-2123.xml,680
5,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,0.0,C04-1091.xml,C00-2123.xml,680
6,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.02247191011235955,E06-1004.xml,C00-2123.xml,680
7,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.012195121951219513,H01-1062.xml,C00-2123.xml,680
8,0.0,0.0,0.0,0.0,0.12222222222222222,0.012345679012345678,0.0,J03-1005.xml,C00-2123.xml,680
9,0.0,0.045454545454545456,0.05952380952380952,0.0,0.0,0.06521739130434782,0.03296703296703297,J04-2003.xml,C00-2123.xml,680
10,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.011111111111111112,J04-4002.xml,C00-2123.xml,680
11,0.0,0.0,0.0,0.012345679012345678,0.0,0.011904761904761904,0.0,N03-1010.xml,C00-2123.xml,680
12,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.011764705882352941,P01-1027.xml,C00-2123.xml,680
13,0.0,0.0,0.08139534883720931,0.0,0.0,0.12643678160919541,0.04395604395604396,P03-1039.xml,C00-2123.xml,680
14,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,P03-1039.xml,C00-2123.xml,680
15,0.0,0.0,0.012195121951219513,0.0,0.012345679012345678,0.024096385542168676,0.024390243902439025,W01-1404.xml,C00-2123.xml,680
16,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.022988505747126436,W01-1407.xml,C00-2123.xml,680
17,0.03333333333333333,0.0,0.012195121951219513,0.012048192771084338,0.0,0.023529411764705882,0.06097560975609756,W01-1408.xml,C00-2123.xml,680
18,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.011494252873563218,W02-1020.xml,C00-2123.xml,680
19,0.0,0.0,0.0,0.0,0.0,0.01,0.0,C10-2104.xml,C02-1025.xml,1099
20,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,C10-2167.xml,C02-1025.xml,1099
21,0.0,0.0,0.020833333333333332,0.0,0.0,0.042105263157894736,0.009900990099009901,I05-3013.xml,C02-1025.xml,1099
22,0.020618556701030927,0.0,0.0,0.0,0.009900990099009901,0.010309278350515464,0.0,I05-3030.xml,C02-1025.xml,1099
23,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,P03-1028.xml,C02-1025.xml,1099
24,0.0,0.0,0.0,0.0,0.0,0.01,0.02,P03-1028.xml,C02-1025.xml,1099
25,0.0,0.0,0.01020408163265306,0.010101010101010102,0.0,0.009615384615384616,0.0,P05-1045.xml,C02-1025.xml,1099
26,0.0,0.0,0.02,0.0,0.0,0.03,0.019417475728155338,P05-1051.xml,C02-1025.xml,1099
27,0.0,0.009708737864077669,0.0,0.0,0.0,0.019417475728155338,0.0,W03-0423.xml,C02-1025.xml,1099
28,0.0,0.0,0.010638297872340425,0.0,0.010101010101010102,0.0,0.0,W03-0423.xml,C02-1025.xml,1099
29,0.0,0.0,0.0,0.020618556701030927,0.0,0.0,0.030612244897959183,W03-0423.xml,C02-1025.xml,1099
30,0.010416666666666666,0.0,0.0,0.0,0.0,0.010309278350515464,0.021505376344086023,W03-0423.xml,C02-1025.xml,1099
31,0.0,0.020618556701030927,0.0,0.0,0.0,0.05102040816326531,0.0196078431372549,W03-0423.xml,C02-1025.xml,1099
32,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,W03-0432.xml,C02-1025.xml,1099
33,0.0,0.0,0.0,0.0,0.04040404040404041,0.010101010101010102,0.01,W04-0705.xml,C02-1025.xml,1099
34,0.0,0.0,0.0,0.0,0.00980392156862745,0.01,0.0196078431372549,W04-0705.xml,C02-1025.xml,1099
35,0.09278350515463918,0.0,0.0,0.0,0.0,0.030303030303030304,0.010101010101010102,W06-0119.xml,C02-1025.xml,1099
36,0.0,0.0,0.0,0.027522935779816515,0.0,0.0,0.026785714285714284,C10-1070.xml,C04-1089.xml,1383
37,0.0,0.01904761904761905,0.009174311926605505,0.0,0.0,0.034782608695652174,0.018018018018018018,C10-2164.xml,C04-1089.xml,1383
38,0.0,0.0,0.0,0.0,0.0,0.0,0.028037383177570093,D10-1042.xml,C04-1089.xml,1383
39,0.019230769230769232,0.0,0.018518518518518517,0.0,0.0,0.03669724770642202,0.018018018018018018,D12-1003.xml,C04-1089.xml,1383
40,0.0,0.010101010101010102,0.01818181818181818,0.0,0.009523809523809525,0.017699115044247787,0.008849557522123894,D12-1003.xml,C04-1089.xml,1383
41,0.00980392156862745,0.009523809523809525,0.0,0.0,0.0,0.018691588785046728,0.018691588785046728,N09-1048.xml,C04-1089.xml,1383
42,0.0,0.0,0.009174311926605505,0.0,0.0,0.008928571428571428,0.02608695652173913,N09-1048.xml,C04-1089.xml,1383
43,0.0,0.0,0.009174311926605505,0.0,0.0,0.01834862385321101,0.03636363636363636,P06-1011.xml,C04-1089.xml,1383
44,0.0,0.0,0.038834951456310676,0.0,0.0,0.046296296296296294,0.02727272727272727,P13-1059.xml,C04-1089.xml,1383
45,0.009259259259259259,0.0,0.027777777777777776,0.0,0.0,0.03669724770642202,0.05504587155963303,P13-1062.xml,C04-1089.xml,1383
46,0.027777777777777776,0.0,0.009900990099009901,0.00980392156862745,0.0,0.018691588785046728,0.0,P13-2036.xml,C04-1089.xml,1383
47,0.0,0.009900990099009901,0.00980392156862745,0.0,0.0,0.0,0.02830188679245283,P13-2036.xml,C04-1089.xml,1383
48,0.0,0.009900990099009901,0.009345794392523364,0.0,0.0,0.03773584905660377,0.017857142857142856,W11-1215.xml,C04-1089.xml,1383
49,0.0,0.0,0.009259259259259259,0.009708737864077669,0.0,0.0,0.009009009009009009,W13-2501.xml,C04-1089.xml,1383
50,0.009523809523809525,0.0,0.0,0.018018018018018018,0.009259259259259259,0.009259259259259259,0.05309734513274336,W13-2512.xml,C04-1089.xml,1383
51,0.0,0.0,0.02702702702702703,0.009009009009009009,0.0,0.02631578947368421,0.058823529411764705,C10-2023.xml,C08-1098.xml,1781
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D12-1133.xml,C08-1098.xml,1781
53,0.0,0.0,0.0,0.0,0.0,0.026785714285714284,0.008928571428571428,D12-1133.xml,C08-1098.xml,1781
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D13-1032.xml,C08-1098.xml,1781
55,0.0,0.0,0.0,0.00909090909090909,0.0,0.0,0.008928571428571428,D13-1033.xml,C08-1098.xml,1781
56,0.0,0.0,0.0,0.017543859649122806,0.0,0.018691588785046728,0.043478260869565216,E09-1079.xml,C08-1098.xml,1781
57,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.03669724770642202,P10-1020.xml,C08-1098.xml,1781
58,0.0,0.0,0.009009009009009009,0.01818181818181818,0.0,0.008849557522123894,0.03508771929824561,P10-1068.xml,C08-1098.xml,1781
59,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.02830188679245283,P10-1068.xml,C08-1098.xml,1781
60,0.009523809523809525,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,P10-1068.xml,C08-1098.xml,1781
61,0.019417475728155338,0.0,0.009433962264150943,0.0,0.02564102564102564,0.0,0.0,W10-1704.xml,C08-1098.xml,1781
62,0.0,0.009009009009009009,0.009259259259259259,0.008928571428571428,0.0,0.04424778761061947,0.025210084033613446,W10-1727.xml,C08-1098.xml,1781
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W11-2135.xml,C08-1098.xml,1781
64,0.0,0.02654867256637168,0.0,0.0,0.01834862385321101,0.06140350877192982,0.00909090909090909,W11-2145.xml,C08-1098.xml,1781
65,0.00909090909090909,0.0,0.0,0.0,0.0,0.017699115044247787,0.008620689655172414,W11-2147.xml,C08-1098.xml,1781
