CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
1,-1.271,-1.1270000000000002,-1.83,-2.0570000000000004,-1.903,-2.3360000000000003,-3.0090000000000012,C02-1050.xml,C00-2123.xml,680
2,-1.5469999999999997,-1.6669999999999998,-2.4899999999999998,-1.3399999999999999,-1.439,-2.7800000000000002,-2.538,C02-1050.xml,C00-2123.xml,680
3,-1.1270000000000002,-3.0090000000000012,-1.9489999999999998,-1.2859999999999996,-1.513,-3.626999999999999,-1.802,C02-1050.xml,C00-2123.xml,680
4,-1.8080000000000003,-0.7010000000000001,-1.9109999999999996,-1.4429999999999996,-0.694,-1.9290000000000007,-2.316,C02-1050.xml,C00-2123.xml,680
5,-1.505,-1.9209999999999994,-1.5550000000000002,-1.161,-1.455,-2.319000000000001,-1.8429999999999995,C04-1091.xml,C00-2123.xml,680
6,-2.3159999999999994,-1.3210000000000002,-1.6729999999999996,-1.5099999999999998,-1.1749999999999998,-2.0799999999999996,-2.138,E06-1004.xml,C00-2123.xml,680
7,-0.657,-1.1679999999999997,-1.407,0.008000000000000007,-1.569,-1.7070000000000003,-1.5619999999999998,H01-1062.xml,C00-2123.xml,680
8,-1.5789999999999997,-1.4449999999999998,-1.1680000000000001,-0.6890000000000001,-3.157,-1.634,-1.5020000000000002,J03-1005.xml,C00-2123.xml,680
9,-0.8999999999999999,-2.5060000000000007,-2.819,-1.7169999999999996,-0.3979999999999999,-3.4659999999999993,-2.843999999999999,J04-2003.xml,C00-2123.xml,680
10,-1.5629999999999997,-0.9279999999999999,-1.553,-1.9809999999999999,-1.943,-1.7550000000000003,-2.357,J04-4002.xml,C00-2123.xml,680
11,-1.4709999999999996,-1.1030000000000002,-2.3710000000000004,-1.6019999999999999,-0.937,-2.1700000000000004,-2.649,N03-1010.xml,C00-2123.xml,680
12,-1.4709999999999996,-0.397,-2.0539999999999994,-1.576,-1.7639999999999998,-1.988,-2.537,P01-1027.xml,C00-2123.xml,680
13,-1.117,-1.557,-2.257,-0.33499999999999996,-0.6950000000000001,-3.035,-2.46,P03-1039.xml,C00-2123.xml,680
14,-0.6880000000000002,-0.8569999999999998,-1.9299999999999997,-1.6190000000000002,-1.5950000000000002,-1.932,-2.412,P03-1039.xml,C00-2123.xml,680
15,-1.4819999999999998,-1.001,-1.5499999999999998,-0.9130000000000003,-1.9749999999999996,-1.7729999999999997,-1.7309999999999999,W01-1404.xml,C00-2123.xml,680
16,-1.4779999999999998,-0.911,-1.6749999999999998,-1.56,-1.4810000000000003,-1.9299999999999997,-2.39,W01-1407.xml,C00-2123.xml,680
17,-2.1020000000000003,-1.7350000000000003,-1.3610000000000002,-2.0999999999999996,0.008000000000000007,-2.027,-2.148,W01-1408.xml,C00-2123.xml,680
18,-1.6059999999999999,-1.2619999999999996,-1.9419999999999997,-0.23699999999999988,-1.2079999999999997,-2.488,-1.795,W02-1020.xml,C00-2123.xml,680
19,-1.126,-1.9650000000000007,-1.1709999999999998,-1.6820000000000004,-1.9939999999999998,-2.2529999999999997,-2.2669999999999995,C10-2104.xml,C02-1025.xml,1099
20,-1.302,-1.721,-2.0309999999999997,-0.9650000000000003,-0.9220000000000002,-2.6879999999999997,-2.332,C10-2167.xml,C02-1025.xml,1099
21,-1.71,-0.964,-2.345,-2.186,-1.2600000000000002,-2.6529999999999996,-3.234,I05-3013.xml,C02-1025.xml,1099
22,-2.022,-1.2839999999999998,-1.5110000000000001,-0.4039999999999999,-2.3890000000000007,-2.2489999999999997,-1.8519999999999999,I05-3030.xml,C02-1025.xml,1099
