CitanceNumber,PreTwo,PreOne,CitationSentence,PostOne,PostTwo,PreOne And Citation,Citation And PostOne,CitingArticle,ReferenceArticle,LengthOfDocumentVector
1,0.279,0.244,0.423,0.313,0.382,0.402,0.449,C02-1050.xml,C00-2123.xml,680
2,0.327,0.395,0.409,0.256,0.280,0.357,0.391,C02-1050.xml,C00-2123.xml,680
3,0.244,0.449,0.391,0.232,0.379,0.427,0.377,C02-1050.xml,C00-2123.xml,680
4,0.372,0.182,0.401,0.277,0.178,0.427,0.467,C02-1050.xml,C00-2123.xml,680
5,0.302,0.480,0.355,0.252,0.282,0.405,0.423,C04-1091.xml,C00-2123.xml,680
6,0.460,0.288,0.366,0.316,0.241,0.380,0.329,E06-1004.xml,C00-2123.xml,680
7,0.161,0.253,0.307,0.008,0.333,0.338,0.325,H01-1062.xml,C00-2123.xml,680
8,0.329,0.294,0.254,0.175,0.403,0.363,0.303,J03-1005.xml,C00-2123.xml,680
9,0.200,0.384,0.477,0.374,0.119,0.430,0.430,J04-2003.xml,C00-2123.xml,680
10,0.334,0.210,0.334,0.419,0.385,0.372,0.444,J04-4002.xml,C00-2123.xml,680
11,0.342,0.229,0.478,0.378,0.213,0.461,0.445,N03-1010.xml,C00-2123.xml,680
12,0.317,0.119,0.435,0.341,0.350,0.452,0.484,P01-1027.xml,C00-2123.xml,680
13,0.214,0.322,0.341,0.084,0.179,0.330,0.341,P03-1039.xml,C00-2123.xml,680
14,0.176,0.179,0.419,0.354,0.338,0.362,0.490,P03-1039.xml,C00-2123.xml,680
15,0.302,0.204,0.364,0.201,0.413,0.455,0.345,W01-1404.xml,C00-2123.xml,680
16,0.307,0.206,0.344,0.324,0.300,0.403,0.437,W01-1407.xml,C00-2123.xml,680
17,0.323,0.385,0.329,0.436,0.008,0.333,0.302,W01-1408.xml,C00-2123.xml,680
18,0.363,0.271,0.430,0.044,0.246,0.420,0.295,W02-1020.xml,C00-2123.xml,680
19,0.213,0.333,0.230,0.306,0.337,0.325,0.353,C10-2104.xml,C02-1025.xml,1099
20,0.268,0.312,0.310,0.209,0.190,0.383,0.336,C10-2167.xml,C02-1025.xml,1099
