citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
1,C00-2123.xml,C02-1050.xml,"This problem is known to be NP-Complete (Knight, 1999), for the reordering property in the model further complicates the search.",One of the solution is the left-to-right generation of output by consuming input words in any-order.,"Under this constraint, many researchers had contributed algorithms and associated pruning strategies, such as Berger et al.(1996), Och et al.(2001), Wang and Waibel (1997), Tillmann and Ney (2000) GarciaVarea and Casacuberta (2001) and Germann et al.","(2001), though they all based on almost linearly Lexical Model t( f j |ei ) Translation Model Fertility Model n(φi |ei ) Distortion Model Head d1 ( j − cρi |A(eρi )B( f j )) NULL Translation Model m−φ0O pm−2φ0 φ0 Non-Head d1> ( j − j |B( f j )) φ0 0 p1 Figure 2: Translation Model (IBM Model 4) aligned language pairs, and not suitable for language pairs with totally different alignment correspondence, such as Japanese and English.","The decoding methods presented in this paper explore the partial candidate translation hypotheses greedily, as presented in Tillmann and Ney (2000) and Och et al.(2001), and operation applied to each hypothesis is similar to those explained in Berger et al.(1996), Och et al.(2001) and Germann et al.",Multi Citance
2,C00-2123.xml,C02-1050.xml,"According to the Bayes Rule, the problem is transformed into the noisy channel model paradigm, where the translation is the maximum a posteriori solution of a distribution for a channel target text given a channel source text and a prior distribution for the channel source text (Brown et al., 1993).","Although there exists efficient algorithms to estimate the parameters for the statistical machine translation (SMT), one of the problems of SMT is the search algorithms for the translation given a sequence of words.","There exists stack decoding algorithm (Berger et al., 1996), A* search algorithm (Och et al., 2001; Wang and Waibel, 1997) and dynamic-programming algorithms (Tillmann and Ney, 2000; GarciaVarea and Casacuberta, 2001), and all translate a given input string word-by-word and render the translation in left-to-right, with pruning technologies assuming almost linearly aligned translation source and target texts.","The algorithms proposed above cannot deal with drastically different word correspondence, such as Japanese and English translation, where Japanese is SOV while SVO in English.","Germann et al.(2001) suggested greedy method and integer programming decoding, though the first method suffer from the similar problem as described above and the second is impractical for the real-world application.",Multi Citance
3,C00-2123.xml,C02-1050.xml,One of the solution is the left-to-right generation of output by consuming input words in any-order.,"Under this constraint, many researchers had contributed algorithms and associated pruning strategies, such as Berger et al.(1996), Och et al.(2001), Wang and Waibel (1997), Tillmann and Ney (2000) GarciaVarea and Casacuberta (2001) and Germann et al.(2001), though they all based on almost linearly Lexical Model t( f j |ei ) Translation Model Fertility Model n(φi |ei ) Distortion Model Head d1 ( j − cρi |A(eρi )B( f j )) NULL Translation Model m−φ0O pm−2φ0 φ0 Non-Head d1> ( j − j |B( f j )) φ0 0 p1 Figure 2: Translation Model (IBM Model 4) aligned language pairs, and not suitable for language pairs with totally different alignment correspondence, such as Japanese and English.","The decoding methods presented in this paper explore the partial candidate translation hypotheses greedily, as presented in Tillmann and Ney (2000) and Och et al.","(2001), and operation applied to each hypothesis is similar to those explained in Berger et al.(1996), Och et al.(2001) and Germann et al.(2001).",The algorithm is depicted in Algorithm 1 where C = { jk : k = 1...|C|} represents a set of input string position 1.,Single Citance
4,C00-2123.xml,C02-1050.xml,"Then, the two hypotheses are merged when both are open and can share the same output word e, which resulted in raising the fertility of e. If both of them are closed hypotheses, then an additional sequence of zero fertility words (or NULL sequence) are inserted (refer to Figure 5).",3.4 Computational Complexity.,"The computational complexity for the left-to-right and right-to-left is the same, O(|E|3m22m ), as reported by Tillmann and Ney (2000), in which |E| is the size of the vocabulary for output sentences 3.","The bidirectional method involves merging of two hypotheses, hence additional O( m O) is required.",3.5 Effects of Decoding Direction.,Single Citance
5,C00-2123.xml,C04-1091.xml,"Independently, Christoph Tillman adapted the Held-Karp dynamic programming algorithm for TSP (Held and Karp, 1962) to Decoding (Tillman, 2001).",The original Held- Karp algorithm for TSP is an exponential time dynamic programming algorithm and Tillman’s adaptation to Decoding has a prohibitive com plexity of O (l3m2 2m ) ≈ O (m5 2m ) (where mand l are the lengths of the source and tar get sentences respectively).,"Tillman and Ney showed how to improve the complexity of the Held-Karp algorithm for restricted word reordering and gave a O (l3m4) ≈ O (m7) algo rithm for French-English translation (Tillman and Ney, 2000).","An optimal decoder based on the well-known A∗ heuristic was implemented and benchmarked in (Och et al., 2001).","Since optimal solution can not be computed for practical problem instances in a reasonable amount of time, much of recent work has focused on good quality suboptimal solutions.",Single Citance
6,C00-2123.xml,E06-1004.xml,"The computational tasks involving IBM Models are the following: • Viterbi Alignment Given the model parameters and a sentence pair (f , e), determine the most probable alignment between f and e. a∗ = argmax P (f , a|e) a • Expectation Evaluation This forms the core of model training via the EM algorithm.",Please see Section 2.3 for a description of the computational task involved in the EM iterations.,"â€¢ Conditional Probability Given the model parameters and a sentence pair (f , e), compute P (f |e).1997), (Tillman, 2000), (Och et al., 2001), (Germann et al., 2003), (Udupa et al., 2004).","Exact Decoding is the original decoding problem as defined in (Brown et al., 1993) and Relaxed Decoding is the relaxation of the decoding problem typically used in practice.","While several heuristics have been developed by practitioners of SMT for the computational tasks involving IBM models, not much is known about the computational complexity of these tasks.",Multi Citance
7,C00-2123.xml,H01-1062.xml,Figure 5: Illustration of bottom-to-top search.,perimental tests were performed for both text and speech input.,"To summarize these experimental tests, we briefly report experimental offline results for the following translation approaches: â€¢ single-word based approach [20];","For more details, see [23].",The offline tests were performed on text input for the translation direction from German to English.,Single Citance
8,C00-2123.xml,J03-1005.xml,"Although the last approach is guaranteed to find the optimal solution, it is tested only for input sentences of length eight or shorter.",This article will present a DP-based beam search decoder for the IBM4 translation model.,A preliminary version of the work presented here was published in Tillmann and Ney (2000).,3.1 Inverted Alignment Concept.,"To explicitly describe the word order difference between source and target language, Brown et al.(1993) introduced an alignment concept, in which a source position j is mapped to exactly one target position i: regular alignment: j → i = aj 101 . May of fourth the on you visit not can colleague my case this In I d F k m K S a v M n b . n i a a e o i m i a i e Figure 2 e l n s l n e m i l e e i c s n l r h u e t t c g e h e n e n Regular alignment example for the translation direction German to English.",Pre Contiguous
9,C00-2123.xml,J04-2003.xml,1.2 Statistical Machine Translation.,"In statistical machine translation, every target language string eI = e1 ··· eI is assigned a probability Pr(eI ) of being a valid word sequence in the target language and a probability Pr(eI |f J ) of being a translation for the given source language string f J = 1 1 1 f1 ··· fJ . According to Bayes’ decision rule, the optimal translation for f J is the target string that maximizes the product of the target language model Pr(eI ) and the string translation model Pr(f J |eI ).","Many existing systems for statistical machine translation 1 1 (Garc´ıa-Varea and Casacuberta 2001; Germann et al. 2001; Nießen et al. 1998; Och, Tillmann, and Ney 1999) implement models presented by Brown, Della Pietra, Della Pietra, and Mercer (1993): The correspondence between the words in the source and the target strings is described by alignments that assign target word positions to each source word position.",The probability that a certain target language word will occur in the target string is assumed to depend basically only on the source words aligned with it.,1.3 Related Work.,Multi Citance
10,C00-2123.xml,J04-4002.xml,"In the second step, we determine a set of probable target language words for each target word position in the alignment template instantiation.",Only these words are then hypothesized in the search.,We call this selection of highly probable words observation pruning (Tillmann and Ney 2000).,"As a criterion for a word e at position i in the alignment template instantiation, we use δ(Ei , C(e)) · J· j=0 A˜ (i, j) A˜ (i·, j) · p(e | fj ) (28) In our experiments, we hypothesize only the five best-scoring words.","A decision is a triple d = (Z, e, l) consisting of an alignment template instantiation Z, the generated word e, and the index l of the generated word in Z. A hypothesis n corresponds to a valid sequence of decisions di . The possible decisions are as follows: 1.",Single Citance
